시도,시군구,읍면동,리,행정구역코드,종말처리시설명,업소수(개)_총계,폐수발생량(㎥/일)_총계,폐수방류량(㎥/일)_총계,BOD발생부하량(kg/일)_총계,TN발생부하량(kg/일)_총계,TP발생부하량(kg/일)_총계,BOD배출부하량(kg/일)_총계,TN배출부하량(kg/일)_총계,TP배출부하량(kg/일)_총계,업소수(개)_종말처리장 연계,폐수발생량(㎥/일)_종말처리장 연계,폐수방류량(㎥/일)_종말처리장 연계,BOD발생부하량(kg/일)_종말처리장 연계,TN발생부하량(kg/일)_종말처리장 연계,TP발생부하량(kg/일)_종말처리장 연계,BOD배출부하량(kg/일)_종말처리장 연계,TN배출부하량(kg/일)_종말처리장 연계,TP배출부하량(kg/일)_종말처리장 연계,업소수(개)_직접 방류,폐수발생량(㎥/일)_직접 방류,폐수방류량(㎥/일)_직접 방류,BOD발생부하량(kg/일)_직접 방류,TN발생부하량(kg/일)_직접 방류,TP발생부하량(kg/일)_직접 방류,BOD배출부하량(kg/일)_직접 방류,TN배출부하량(kg/일)_직접 방류,TP배출부하량(kg/일)_직접 방류,업소수(개)__위탁 처리,폐수발생량(㎥/일)__위탁 처리,폐수방류량(㎥/일)_위탁 처리,BOD발생부하량(kg/일)_위탁 처리,TN발생부하량(kg/일)_위탁 처리,TP발생부하량(kg/일)_위탁 처리,BOD배출부하량(kg/일)_위탁 처리,TN배출부하량(kg/일)_위탁 처리,TP배출부하량(kg/일)_위탁 처리
서울특별시,중구,장충동1가,,1114014300,중랑물재생센터,1,24,24,1.85,0.96,0.24,0.22,0.03,0,1,24,24,1.85,0.96,0.24,0.22,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,중구,장충동1가,,1114014300,,2,0.2,0,0.07,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.07,0.03,0,0,0,0
서울특별시,중구,장충동2가,,1114014400,중랑물재생센터,2,203.5,203.5,27.26,8.14,2.04,1.89,0.26,0.03,2,203.5,203.5,27.26,8.14,2.04,1.89,0.26,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,중구,장충동2가,,1114014400,,6,0.1,0,0.04,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.04,0.02,0,0,0,0
서울특별시,중구,광희동1가,,1114014500,중랑물재생센터,1,5.5,5.5,1.66,0.06,0.01,0.77,0.02,0,1,5.5,5.5,1.66,0.06,0.01,0.77,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,중구,광희동1가,,1114014500,,6,0.2,0,0.08,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.08,0.03,0,0,0,0
서울특별시,중구,쌍림동,,1114014700,,4,0.1,0,0.04,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.04,0.02,0,0,0,0
서울특별시,중구,을지로6가,,1114014800,중랑물재생센터,2,112.9,112.9,13.79,4.16,1.03,3.75,3.3,0.25,2,112.9,112.9,13.79,4.16,1.03,3.75,3.3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,중구,을지로6가,,1114014800,,3,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.02,0.01,0,0,0,0
서울특별시,중구,을지로4가,,1114015000,,17,0.4,0,0.11,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0.11,0.04,0,0,0,0
서울특별시,중구,을지로5가,,1114015100,,2,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.01,0,0,0,0,0
서울특별시,중구,주교동,,1114015200,중랑물재생센터,26,112.6,112.6,33.77,1.13,0.23,6.82,0.61,0.01,26,112.6,112.6,33.77,1.13,0.23,6.82,0.61,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
