행정구역코드,시도,시군구,읍면동,리,합계(㎡),전,답,과수원,목장용지,임야,광천지,염전,대지,공장용지,학교용지,주차장,주유소용지,창고용지,도로,철도용지,제방,하천,구거,유지,양어장,수도용지,공원,체육용지,유원지,종교용지,사적지,묘지,잡종지
1114012100,서울특별시,중구,회현동1가,,"300,905",0,0,0,0,"112,088",0,0,"124,991",0,0,0,0,0,"42,859",371,0,0,0,0,0,0,"20,596",0,0,0,0,0,0
1114012200,서울특별시,중구,회현동2가,,"70,676",0,0,0,0,0,0,0,"38,107",0,0,620,0,0,"31,530",0,0,0,0,0,0,0,0,0,0,0,0,0,419
1114012300,서울특별시,중구,회현동3가,,"12,536",0,0,0,0,0,0,0,"9,224",0,0,0,0,0,"3,312",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114012400,서울특별시,중구,충무로1가,,"59,416",0,0,0,0,0,0,0,"37,032",0,0,0,0,0,"22,384",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114012500,서울특별시,중구,충무로2가,,"69,365",0,0,0,0,0,0,0,"42,991",0,0,0,0,0,"26,374",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114012600,서울특별시,중구,명동1가,,"36,922",0,0,0,0,0,0,0,"29,555",0,0,0,0,0,"7,367",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114012700,서울특별시,중구,명동2가,,"118,030",0,0,0,0,0,0,0,"59,975",0,0,0,0,0,"15,367",0,0,0,0,0,0,0,0,0,0,"42,688",0,0,0
1114012800,서울특별시,중구,남산동1가,,"23,092",0,0,0,0,0,0,0,"19,109",0,0,292,0,0,"3,691",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114012900,서울특별시,중구,남산동2가,,"72,801",0,0,0,0,459,0,0,"53,167",0,"8,614",112,0,0,"10,449",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114013000,서울특별시,중구,남산동3가,,"29,186",0,0,0,0,0,0,0,"18,011",0,0,0,0,0,"9,372",0,0,0,0,0,0,0,0,0,0,"1,669",0,0,134
1114013100,서울특별시,중구,저동1가,,"35,680",0,0,0,0,0,0,0,"19,905",0,0,0,0,0,"15,775",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114013200,서울특별시,중구,충무로4가,,"58,583",0,0,0,0,0,0,0,"39,022",0,0,0,0,0,"19,347",214,0,0,0,0,0,0,0,0,0,0,0,0,0
1114013300,서울특별시,중구,충무로5가,,"54,279",0,0,0,0,0,0,0,"32,138",0,0,0,0,0,"18,234",0,0,0,0,0,0,0,"3,907",0,0,0,0,0,0
1114013400,서울특별시,중구,인현동2가,,"70,562",0,0,0,0,0,0,0,"37,549",0,"12,763",0,0,0,"18,566",0,0,0,0,0,0,0,"1,684",0,0,0,0,0,0
1114013500,서울특별시,중구,예관동,,"38,774",0,0,0,0,0,0,0,"24,923",0,0,0,0,0,"13,847",0,0,0,4,0,0,0,0,0,0,0,0,0,0
1114013600,서울특별시,중구,묵정동,,"61,869",0,0,0,0,0,0,0,"47,864",0,0,281,0,0,"13,555",0,0,0,21,0,0,0,0,0,0,0,0,0,147
1114013700,서울특별시,중구,필동1가,,"36,070",0,0,0,0,0,0,0,"25,269",0,0,0,0,0,"10,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114013800,서울특별시,중구,필동2가,,"185,484",0,0,0,0,0,0,0,"156,070",0,0,460,505,0,"27,480",0,0,0,24,0,0,0,0,0,0,415,0,0,531
1114013900,서울특별시,중구,필동3가,,"94,154",0,0,0,0,0,0,0,"69,402",0,"4,241",27,0,0,"20,484",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114014000,서울특별시,중구,남학동,,"10,813",0,0,0,0,0,0,0,"6,730",0,0,0,0,0,"4,083",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114014100,서울특별시,중구,주자동,,"23,973",0,0,0,0,0,0,0,"4,314",0,0,0,0,0,"19,659",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114014200,서울특별시,중구,예장동,,"679,051",0,0,0,0,"541,267",0,0,"110,403",0,0,0,0,0,"24,285",0,0,0,48,0,0,0,0,0,0,"1,653",0,0,"1,395"
1114014300,서울특별시,중구,장충동1가,,"148,571",0,0,0,0,0,0,0,"113,613",0,0,0,890,0,"32,401",0,0,0,0,0,0,0,0,0,0,"1,667",0,0,0
1114014400,서울특별시,중구,장충동2가,,"1,180,656",0,0,0,0,"603,972",0,0,"218,903",0,"119,569","1,542",0,0,"67,885",0,0,0,"5,543",0,0,0,"146,030","10,101",0,"3,449",234,0,"3,430"
1114014500,서울특별시,중구,광희동1가,,"54,268",0,0,0,0,0,0,0,"36,608",0,0,0,0,0,"15,792",0,0,0,0,0,0,0,"1,868",0,0,0,0,0,0
1114014600,서울특별시,중구,광희동2가,,"56,452",0,0,0,0,0,0,0,"32,799",0,0,0,0,0,"21,769",212,0,0,8,0,0,0,972,0,0,0,693,0,0
1114014700,서울특별시,중구,쌍림동,,"79,495",0,0,0,0,0,0,0,"47,076",0,0,0,0,0,"31,848",0,0,0,0,0,0,0,477,0,0,94,0,0,0
1114014800,서울특별시,중구,을지로6가,,"185,300",0,0,0,0,0,0,0,"116,782",0,0,0,0,0,"57,578",0,0,"2,604",895,0,0,0,"3,665","3,766",0,0,0,0,10
1114014900,서울특별시,중구,을지로7가,,"91,977",0,0,0,0,0,0,0,"12,808",0,0,0,0,0,"16,448","1,561",0,0,0,0,0,0,0,"59,942",0,0,0,0,"1,218"
1114015000,서울특별시,중구,을지로4가,,"70,474",0,0,0,0,0,0,0,"37,361",0,0,0,0,0,"33,083",0,0,0,13,0,0,0,0,0,0,17,0,0,0
1114015100,서울특별시,중구,을지로5가,,"78,277",0,0,0,0,0,0,0,"41,247",0,0,0,0,0,"26,003",0,0,0,21,0,0,0,"11,007",0,0,0,0,0,0
1114015200,서울특별시,중구,주교동,,"73,210",0,0,0,0,0,0,0,"49,980",0,0,0,0,0,"23,230",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114015300,서울특별시,중구,방산동,,"59,103",0,0,0,0,0,0,0,"39,595",0,0,0,0,0,"18,550",0,0,400,0,0,0,0,472,0,0,0,86,0,0
1114015400,서울특별시,중구,오장동,,"67,305",0,0,0,0,0,0,0,"44,994",0,0,0,0,0,"22,250",0,0,0,61,0,0,0,0,0,0,0,0,0,0
1114015500,서울특별시,중구,을지로3가,,"83,455",0,0,0,0,0,0,0,"55,103",0,0,0,0,0,"28,254",99,0,0,0,0,0,0,0,0,0,0,0,0,0
